district,crime_rate,senior_pedestrian_accidents,steep_slope_count,senior_center,sports_center,cultural_facilities,welfare_facilities,subway_station_count,bus_stop_density,medical_corporations_count,emergency_room_count,employ,green_space_per_capita,pm2_5_level
마포구,0.3981627673317067,0.1114649681528662,0.1772151898734177,0.6595744680851063,0.6046511627906976,0.1148325358851674,0.4409937888198757,0.5555555555555556,0.4679911699779251,0.6666666666666666,0.0,0.4780130293159609,0.6156351791530944,0.6206896551724128
서대문구,0.0800200947323094,0.3152866242038217,0.6329113924050633,0.398936170212766,0.1162790697674419,0.0669856459330143,0.3509316770186335,0.1481481481481481,0.9757174392935984,0.5,0.125,0.7956026058631923,0.10749185667752445,0.8965517241379306
서초구,0.481914740921487,0.2547770700636942,0.6329113924050633,0.675531914893617,1.0,0.1770334928229665,0.3540372670807453,0.4074074074074074,0.0,0.1666666666666666,0.0,0.15336590662323557,0.9902280130293158,0.6896551724137936
성동구,0.0292091287498205,0.197452229299363,0.2278481012658227,0.6702127659574468,0.6511627906976745,0.0526315789473684,0.4347826086956521,0.4814814814814814,1.0,0.6666666666666666,0.125,0.12459283387622155,0.1758957654723127,0.9655172413793096
성북구,0.1183436199224917,0.515923566878981,0.569620253164557,0.7393617021276597,0.2790697674418604,0.1578947368421052,0.6770186335403726,0.2962962962962963,0.7273730684326711,0.5,0.0,0.5662323561346362,0.13680781758957652,0.8965517241379306
송파구,0.6589636859480408,0.7165605095541403,0.2784810126582278,0.6117021276595744,0.9302325581395348,0.1483253588516746,0.7919254658385093,1.0,0.1710816777041943,0.0,0.125,0.05103148751357223,0.3680781758957655,0.6206896551724128
양천구,0.2354672025261949,0.4522292993630574,0.3544303797468354,0.6436170212765957,0.558139534883721,0.0239234449760765,0.8447204968944098,0.1481481481481481,0.4856512141280353,0.8333333333333334,0.25,0.39630836047774165,0.20521172638436483,0.0
영등포구,0.5378211568824458,0.5031847133757963,0.0886075949367088,0.7287234042553192,0.5116279069767442,0.0191387559808612,0.6677018633540373,0.3703703703703703,0.4492273730684326,0.0,1.0,0.6392508143322476,0.521172638436482,0.5172413793103452
용산구,0.1756136070044495,0.0159235668789809,0.3417721518987341,0.3138297872340426,0.5348837209302326,0.2105263157894736,0.139751552795031,0.3333333333333333,0.1147902869757173,0.3333333333333333,0.0,0.0,0.38110749185667747,0.4827586206896548
은평구,0.3087412085546147,0.5477707006369428,0.2784810126582278,0.6063829787234043,0.3023255813953489,0.0478468899521531,0.7422360248447204,0.4444444444444444,0.140176600441501,0.3333333333333333,0.25,0.9600977198697068,0.14983713355048858,0.4827586206896548
종로구,0.2087699153150566,0.2101910828025477,0.7341772151898734,0.1223404255319149,0.0,1.0,0.0652173913043477,0.5185185185185186,0.324503311258278,0.5,0.375,0.21579804560260585,0.3420195439739414,0.4137931034482758
중구,0.2409932539112961,0.197452229299363,0.0886075949367088,0.0,0.1395348837209302,0.277511961722488,0.0,0.8148148148148149,0.8951434878587197,0.1666666666666666,0.125,0.26140065146579805,0.4332247557003257,0.1034482758620685
